training_task,checkpoint_step,run_name,same_task_success,heldout_success,method,label
4,50,opd_rlteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.6375,0.403125,OPD,OPD (RL Teacher) | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,75,opd_rlteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.696875,0.4287500000000001,OPD,OPD (RL Teacher) | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,100,opd_rlteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.73125,0.4175,OPD,OPD (RL Teacher) | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,125,opd_rlteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.73125,0.421875,OPD,OPD (RL Teacher) | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,150,opd_rlteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.734375,0.40499999999999997,OPD,OPD (RL Teacher) | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,175,opd_rlteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.728125,0.399375,OPD,OPD (RL Teacher) | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,200,opd_rlteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.78125,0.416875,OPD,OPD (RL Teacher) | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,0,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.315625,0.398125,Base,OPD (SFT Teacher) | GRPO loss | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,50,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.5,0.36125,OPD,OPD (SFT Teacher) | GRPO loss | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,75,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.609375,0.373125,OPD,OPD (SFT Teacher) | GRPO loss | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,100,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.534375,0.3375,OPD,OPD (SFT Teacher) | GRPO loss | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,125,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.471875,0.29375,OPD,OPD (SFT Teacher) | GRPO loss | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,150,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.459375,0.268125,OPD,OPD (SFT Teacher) | GRPO loss | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,175,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.521875,0.26437499999999997,OPD,OPD (SFT Teacher) | GRPO loss | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,200,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.503125,0.234375,OPD,OPD (SFT Teacher) | GRPO loss | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,0,opd_sftteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.315625,0.398125,Base,OPD (SFT Teacher) | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,25,opd_sftteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.49375,0.37937499999999996,OPD,OPD (SFT Teacher) | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,50,opd_sftteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.484375,0.38,OPD,OPD (SFT Teacher) | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,75,opd_sftteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.521875,0.37625000000000003,OPD,OPD (SFT Teacher) | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,100,opd_sftteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.503125,0.35625,OPD,OPD (SFT Teacher) | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,125,opd_sftteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.496875,0.325625,OPD,OPD (SFT Teacher) | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,150,opd_sftteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.5375,0.31,OPD,OPD (SFT Teacher) | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,175,opd_sftteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.546875,0.27937500000000004,OPD,OPD (SFT Teacher) | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,200,opd_sftteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.44375,0.25875,OPD,OPD (SFT Teacher) | Task 4 | 32 rollouts/step | 200 steps | group z-score
